Name,Agency,State,Unit_acres,Total_acres,year
Southern Nantahala Wilderness,FS,GA,11633,23365,1984
Southern Nantahala Wilderness,FS,NC,11732,23365,1984
Strawberry Crater Wilderness,FS,AZ,10414,10414,1984
Table Rock Wilderness,BLM,OR,5784,5784,1984
Tatoosh Wilderness,FS,WA,15720,15720,1984
The Brothers Wilderness,FS,WA,16297,16297,1984
Thunder Ridge Wilderness,FS,VA,2428,2428,1984
Trapper Creek Wilderness,FS,WA,5963,5963,1984
Trinity Alps Wilderness,FS,CA,537363,537363,1984
Turkey Hill Wilderness,FS,TX,5536,5536,1984
Twin Peaks Wilderness,FS,UT,11436,11436,1984
Upland Island Wilderness,FS,TX,13229,13229,1984
Waldo Lake Wilderness,FS,OR,36868,36868,1984
Wellsville Mountain Wilderness,FS,UT,22843,22843,1984
West Clear Creek Wilderness,FS,AZ,15465,15465,1984
Wet Beaver Wilderness,FS,AZ,6178,6178,1984
William O. Douglas Wilderness,FS,WA,168956,168956,1984
Winegar Hole Wilderness,FS,WY,10663,10663,1984
Wonder Mountain Wilderness,FS,WA,2201,2201,1984
Woodchute Wilderness,FS,AZ,5887,5887,1984
Yosemite Wilderness,NPS,CA,704624,704624,1984
Clifty Wilderness,FS,KY,12371,12371,1985
Big Laurel Branch Wilderness,FS,TN,6365,10811,1986
Brasstown Wilderness,FS,GA,12853,12853,1986
Little Frog Mountain Wilderness,FS,TN,4686,5652,1986
Pond Mountain Wilderness,FS,TN,6935,6935,1986
Raven Cliffs Wilderness,FS,GA,9240,9240,1986
Rich Mountain Wilderness,FS,GA,10790,10790,1986
Sampson Mountain Wilderness,FS,TN,7960,10882,1986
Soldier Creek Wilderness,FS,NE,7802,7802,1986
Tray Mountain Wilderness,FS,GA,10343,10343,1986
Unaka Mountain Wilderness,FS,TN,4472,4472,1986
Big Island Lake Wilderness,FS,MI,5295,5295,1987
Cebolla Wilderness,BLM,NM,61600,61600,1987
Delirium Wilderness,FS,MI,11952,11952,1987
Horseshoe Bay Wilderness,FS,MI,3842,3842,1987
Mackinac Wilderness,FS,MI,11363,11363,1987
McCormick Wilderness,FS,MI,16925,16925,1987
